words,character
Logical. ,SPOCK
"Negative, Captain. I have not been able to gather sufficient data for that. Captain, there is only one possible defence. If we can find an environment which is deadly to the alien form. ",SPOCK
"Yes, what is it?",KIRK
"Auxiliary control, this is the captain. Auxiliary control, what's going on down there? ",KIRK
"Children, I have pictures of some of you on Triacus. I'd like to show them to you. Would you like to see them? Mister Spock, the pictures. ",KIRK
"Captain, the one described as the barbarian is also listed here.",SPOCK
"Spock to Enterprise. Spock to Enterprise. Come in, Enterprise. ",SPOCK
"Yes, yes. Go ahead. ",KIRK
Anything on intelligent life forms?,KIRK
Parallel course. ,KIRK
"Correctly phrased, Captain. As recommended in the manual. Our reply, also as recommended, is, sir, we have noted in your recent behaviour certain items, which, on the surface, seem unusual. We respectfully ask permission to inquire further  KIRK: Blast it! Forget the manual! Ask your questions. ",SPOCK
This is Captain Kirk. A truce is ordered. The fighting is over.,KIRK
"Unless the situation changes radically, yes. ",SPOCK
Stop it! ,KIRK
"That'll do. Full ahead, Mister Scott. ",KIRK
Through which these two beings are somehow enabled to pass. ,SPOCK
"You said you discovered a new food concentrate. What am I supposed to put in my log, that you lied? That you diverted a starship with false information? You're not only in trouble, you've put me in trouble, too. ",KIRK
Take him. ,KIRK
"We've got to release that beam, or we're going to follow that ship into the nova! ",KIRK
"That mirror. It's part of his audience, his ego. He never wanders from it. ",KIRK
"You sound bitter, Captain. ",SPOCK
"At maximum speed, Starbase Two would still meet the emergency. ",SPOCK
Who don't have the psychokinetic ability. ,KIRK
Ready. (beams them out) ,SPOCK
"Jim, listen!",MCCOY
"Kirk to Enterprise. Beam us up, Scotty. ",KIRK
"Whoever it is, Captain, has no authorisation. Lieutenant, raise the shuttlecraft. ",SPOCK
I don't follow you. ,KIRK
"Yes. To reach that light, I shall require some sort of platform.",SPOCK
Please. ,KIRK
"No evidence of intelligent life. Atmosphere at surface, eight hundred millibars, breathable. Gravity one point two. Temperature hot, but within Class M limits. ",SPOCK
And what do you think they felt? ,KIRK
You didn't look very well when you broke that mind touch. ,MCCOY
Arrange quarters for Professor and Mrs. Crater. Did you get the plant analysis? ,KIRK
Instrument malfunction? ,KIRK
"Can you do it, Lee? ",KIRK
You can turn command over to Scotty. ,MCCOY
"Ship's life support systems fading. Jim, we need oxygen. ",MCCOY
"We're here to get John Gill, and alive, not for your personal satisfaction. Is that clear? Let's try down there. ",KIRK
Yes. Another conventional weapon. It appears the total conversion beam was the only thing the Slavers had that we do not. ,SPOCK
"Mister Sulu, use your scanners to assemble a diagram of the cloud's composition and feed it to the library computer. ",KIRK
"Well, well, what's happening? ",MCCOY
"Mister Johnson, can you hear me? ",KIRK
Picking up two life-forms in the gallery. ,SPOCK
Start scanning. Let's find that alien. ,KIRK
"Did they solve anything? Have you tried any other way? Deela, have your scientists disconnect, destroy that unit.",KIRK
I said beam me aboard. ,KIRK
My duty as an officer is to obey him. ,SPOCK
"That's cutting it a bit fine, Scotty. ",KIRK
Anything? ,SPOCK
"Directed at the Bridge of the Enterprise, Captain. ",SPOCK
"Are there not also those who seem to see through solid objects, cause fires to start spontaneously? ",SPOCK
"Slaves and gladiators. What are we seeing, a twentieth-century Rome? ",KIRK
"If Scott is correct about the force from the surface, it may have to do with the vibrations I read earlier. ",SPOCK
Then let's go. Let's find out what life forms are blessed by this environment. ,KIRK
"You can't let him do this, Spock. ",MCCOY
"I've never had the opportunity. However, I hear its art forms are incomparable. ",SPOCK
"Mister Sulu, get us the devil out of here! Full scan on the disturbance that penetrated the Bridge. Lieutenant, all decks, damage report. ",KIRK
This is Captain James Kirk of the United Spaceship Enterprise.,KIRK
By now it must be obvious to you that you have been expected. ,KIRK
Sickbay to Bridge. ,MCCOY
"Correct, Captain. ",SPOCK
"Well, I'm willing to take a chance on Mister Spock. Better give yourself a shot, Doc. ",KIRK
Obviously. ,SPOCK
"Plot the new course, Mister Chekov. ",KIRK
Accidents happen. ,KIRK
"United Starship Republic, number 1371. ",KIRK
How do you do? What in blazes is this? ,MCCOY
Fire main phasers.,KIRK
Report on the Rigelian fever. ,KIRK
"If no one on Earth built this city exactly right, then that's why Kukulkan never came back. The entire city is our key. ",KIRK
All right. All right. Tell me about the Providers. What do they look like? Where do they live? ,KIRK
Rigelian physiology is very similar to Vulcan. ,SPOCK
"No, I'm good, but not that good. There's something inside this man that refuses to accept death. Look at that. Even as he is now, his heart valve action has twice the power of yours and mine. Lung efficiency is fifty percent better. ",MCCOY
"Between the emotional strain and that attack of bends, he's in pretty bad shape. ",MCCOY
"I can't infect the planet, Captain. And I can get McCoy. ",SPOCK
"What is it, Nurse?",SPOCK
I don't think so. ,MCCOY
Do you deny it? ,KIRK
"Scotty, check the phaser banks. See if they've been fired. Bones, you come with me. ",KIRK
We got off! ,MCCOY
Mister Spock? (goes to intercom) Mister Spock. I have not yet transported down. Why did you leave your post before confirming transport? Mister Spock? Spock? ,KIRK
"That is enough, Doctor. We both have other things to do. ",SPOCK
"Did you get any subconscious impressions that this was a creature. A living, thinking thing, rather than just a strange cloud of chemical elements? ",MCCOY
We're going to need help in all those areas. ,MCCOY
He's regaining consciousness.,SPOCK
Peace and tranquillity to you. (in a whisper) Are you all right? ,KIRK
"It's a good idea, Jim, but anyone looking at him can tell he's healthy. ",MCCOY
"14A. (a diagram of our solar system comes up on a screen) Nomad, can you scan that? ",KIRK
What's wrong? ,KIRK
"What makes you think you can interfere with  METRON [OC]: It is you who are interfering. We are simply putting a stop to it. The place we have prepared for you contains sufficient elements for either of you to construct weapons lethal enough to destroy the other, which seems to be your intention. The winner of the contest will be permitted to go his way unharmed. The loser, along with his ship, shall be destroyed in the interests of peace. The contest will be one of ingenuity against ingenuity, brute strength against brute strength. The results will be final. ",KIRK
Mister Scott. Did you kill Kara? ,KIRK
It could be a mirage. They could exist in our minds. ,KIRK
"It's not necessary, Captain. It's very simple. Nothing can go wrong. ",MCCOY
He's dying. Something's happened to his brain. Electrical activity decreasing. ,MCCOY
It'll be a lot closer to them. Stand clear. ,KIRK
Captain? Are you all right? Jim? Jim! ,SPOCK
Tyree? ,KIRK
Spock! Don't look! Cover your eyes! ,KIRK
Who's Katie? ,MCCOY
"I see, Doctor McCoy, you still subscribe to the outmoded notion, promulgated by your ancient Greeks, that what is good must also be beautiful. ",SPOCK
"Hippocrates would not have approved of lame excuses, Doctor. ",SPOCK
I wonder when his T'Pring arrives. ,MCCOY
Mister Boma? ,SPOCK
You said it was fused. How? ,SPOCK
"Captain, sensors report two contacts now. One on the port bow, one on the stern. Distance, two hundred thousand kilometres and closing. ",SPOCK
"Do? I intend to continue the search. Foot by foot, inch by inch, by candlelight if necessary, until the last possible moment. And if you'd keep your nose off my bridge, I'd be thankful. ",KIRK
"Very well, but I find it extremely disquieting that your roof chose that particular moment to collapse.",SPOCK
But not as safe. ,SPOCK
"These last few weeks, my love for Miramanee grows stronger with each passing day. However, the dreams return every night.",KIRK
"I'm afraid I'll have to bow out. I have to continue with these medical examinations. However, if I find everyone else's health to be as perfect as yours, I  KIRK: He promised to throw away his shingle. ",MCCOY
You will recall we recognised at least two species from vastly different planets. The environment did not appear natural to this planet. A technology this advanced could easily travel to other star systems to collect specimens. ,SPOCK
That makes sense. ,KIRK
"We're on our way, Doctor. We'll be with you in a moment.",KIRK
Keep those screens up. Fire all phasers. ,KIRK
I was unable to accept. My life is here. ,SPOCK
"I mean that twice before something touched me, and there was nothing there. And it's just happened again. Could I be imagining it? ",KIRK
"We're being held in place, Captain, apparently from that solar system.",SPOCK
"Turn it down a little. Gentlemen, that sound is caused by the heartbeats of all the people on board the ship. Doctor McCoy will use this white sound device to mask out each person's heartbeat so that it will be eliminated from the sounds we are hearing. ",KIRK
"Thank you, Yeoman.",KIRK
"Mister Scott, you have accomplished your task. ",SPOCK
"Jim, if you stand, you could start to bleed again. ",MCCOY
Tell me about it. ,KIRK
We're short of tools. ,KIRK
They know that Vulcan is a member of the Federation. ,KIRK
It would seem so. Silicon-based. ,SPOCK
"Fire phasers, Mister Chekov. ",KIRK
The M-5 computer is now disengaged. ,KIRK
"I see. Magnification factor three, Mister Sulu. ",KIRK
"Mister Sulu, ease us back to minimum headway. Conserve power as much as possible. Lieutenant Palmer, tell Mister Scott to expedite repairs on the warp drive. Poor Matt. He gave his life in an attempt to save others. Not the worst way to go. ",KIRK
Any life readings? ,KIRK
Gentlemen. ,KIRK
That's twice you've referred to us as my children. ,KIRK
"You're not going to answer my question, are you?",MCCOY
"Why are you still here, Spock? Why aren't you looking for Jim? ",MCCOY
Someone tried to kill him. ,SPOCK
"Oh, yes. I'm not a scientist or a physicist, Mister Spock, but am I correct in assuming that anything that generates electricity can be shorted out? ",MCCOY
Agreed. The struggle must remain between you and him. Should any of us interfere_ (Charlie enters under guard) ,SPOCK
I see. This is a fascinating machine. What is it? ,SPOCK
"Well, I guess a tomb of rocks is the best we can provide for D'Amato. ",MCCOY
"Consider yourself on report. This is no time for heroics. I have no intention of sacrificing myself, at least not yet. (into communicator) Spock? Spock? ",KIRK
"Mrs. Sarek, I just don't understand. ",KIRK
"It's quite all right, Ensign. Everything is under control. ",SPOCK
Stand by. Do you read any Romulans? ,KIRK
Weather scan indicated an ion storm dead ahead. I sent Finney into the pod._ STONE: Why Finney? ,KIRK
"No, just surprised. It isn't every day a dinosaur falls on you.",MCCOY
Thank you. ,MCCOY
"Let me take this, Jim. What Maab has said is true. Our customs are different. What the Klingon has said is unimportant, and we do not hear his words. I just called the Klingon a liar. ",MCCOY
"Jim, up ahead. (a light at the end of the tunnel) ",MCCOY
Did you see the love light in Spock's eyes?,MCCOY
"Oxygen-nitrogen atmosphere. Some krypton, argon, neon.",MCCOY
Inside the Enterprise? Can you pinpoint it? ,KIRK
You guess? ,SPOCK
Marple! ,KIRK
Five-minute report. Kirk out. ,KIRK
I thought Vulcans didn't have a sense of humour. ,KIRK
"Negative, Captain. Structures of this complexity require extremely sophisticated building apparatus, the kind usually found in cultures surpassing or equalling our own. ",SPOCK
"Uncertain, Captain. Dr. McCoy's analysis of her reaction assumes that her instinct for self-preservation would prevent it. However, we cannot be positive. ",SPOCK
"Captain, we had a momentary fix on the object enough to establish it was a spaceship. ",SPOCK
"No blah blah blah! Because if we don't talk to the ship, if you don't help us, there won't be any games anymore. There won't be anything. Nothing, no Grups, no Onlies, nobody left forever and ever. ",KIRK
Odd that these people should worship the sun. ,MCCOY
"Our landing party is intact, Doctor. ",SPOCK
(holding Trelane back) Yeoman Teresa Ross. I believe you have met our science officer Mister Spock. ,KIRK
Compensate. (adjusts Riley's controls) Compensate.,KIRK
What we've just seen is not real. ,SPOCK
It is. ,KIRK
Let's get back to the ship. ,KIRK
"I believe you. However, my belief is not acceptable evidence.",SPOCK
"Bailey, you're relieved! Escort him to his quarters, Doctor.",KIRK
"I'll be right up. You could see the alarm lights flashing from there, McCoy. Why didn't you tell me?",KIRK
"Chekov may be right. The Klingons claim to have honoured the truce, but there have been incidents, raids on our outposts. ",MCCOY
"He's reaching a level of consciousness. It's almost like he's in a light sleep. Now, that's as much as I dare do. ",MCCOY
"You mentioned Agamemnon, Hector, Odysseus. How do you know about them? ",KIRK
"SS Beagle. Small class four stardrive vessel. Crew of forty seven, commanded by. Jim, I believe you knew him. Captain R M Merik. ",SPOCK
I agree. ,KIRK
What's? ,KIRK
And you're proud of it. ,KIRK
Emergency! Full reverse power!,SPOCK
"He lost control. So did I. We're becoming animal warriors. Let's go, Spock. ",KIRK
"Checked elapsed time, Mister Sulu.",KIRK
"No, wait! There's a better way. Does not your sacred book promise that good is stronger than evil? ",KIRK
We received a subspace message asking us to divert here immediately.,KIRK
All decks go to full alert. ,KIRK
Walking Bear. ,KIRK
We are committed. ,KIRK
Random sentences strung together. ,KIRK
I have already given Doctor McCoy sufficient cause for amusement. I'd prefer to cogitate the possibilities for a time. ,SPOCK
I can't get a correlation with any known poison. ,MCCOY
"Strange. We did no damage, but the Romulan is retreating anyway.",SPOCK
And if the Klingons give their side even more? ,MCCOY
So they keep their word scrupulously. They're unusually honest.,KIRK
"I too would prefer to press on, Captain. The mechanicals on guard may be what Sord saw tracking us earlier. Or there may be others.",SPOCK
Battle status? ,KIRK
May I say that I have not thoroughly enjoyed serving with humans? I find their illogic and foolish emotions a constant irritant. ,SPOCK
Kirk to Enterprise. Ready to beam over. Have the medical team standing by. ,KIRK
"Yes. Yes, I do, agree. And I am sorry, Jim. ",MCCOY
"I'm sorry, Jim. We've been over and over it, made every conceivable test. ",MCCOY
"Mister Spock, you're a stubborn man. ",KIRK
"Indeed, Doctor. The young lady did show a marked preference for your company. ",SPOCK
"Let's all take a look at it, Mister Spock. ",KIRK
We're helpless down here. And the Enterprise  SPOCK: Sulu is an experienced combat officer.,KIRK
"Well, it won't unless we get these phasers back. ",MCCOY
Good. ,KIRK
What drug? ,SPOCK
We're just going to jam it. ,MCCOY
"You're creating fantasies, Mister Spock. ",MCCOY
Type and source? ,KIRK
"There is a risk, but I have formed a partial hypothesis. I must check it out. ",SPOCK
"Mister Chekov, get a fix on the missile's point of origin. ",KIRK
"How long do you plan on keeping me here, providing Midro doesn't kill me, of course? ",KIRK
What do you propose? ,KIRK
Mister Boma. ,MCCOY
"Confirmed by the library record tapes, Captain. Subjects failed to recognise acquaintances, became hysterically convinced that they were in mortal danger, and were seeking escape at any cost. Extremely dangerous to himself or to anyone else who might  GALLOWAY [OC]: Bridge, Security. Alert, alert! ",SPOCK
The Earth expedition making the report failed to return from its mission. The USS Valiant. Listed as missing in space. ,SPOCK
The release of bacteria. Or a helpless mental depression and a state of suicidal anxiety could have been chemically induced. ,SPOCK
He means it's cold. ,MCCOY
"I believe we can attempt the course correction, Captain. ",SPOCK
"Very archaic type, Captain. Sub light speed. ",SPOCK
"Sulu, run an atmospheric analysis. ",KIRK
Lieutenant. ,KIRK
We will not co-operate. ,KIRK
"Take over, Mister Sulu. Thank you, Ambassador. Mister Chekov, plot a new course. ",KIRK
Interesting. Telepathy. ,KIRK
"Where are your storms, Jaeger? ",MCCOY
I do. I've met some interesting personalities myself. Have you seen any of the others while I've been gone?,KIRK
"Phaser crews, stand by to fire on command. ",KIRK
The Vedala changed their minds. The danger is past. Back to your stations. We have a lot of other places to go.  ,KIRK
"Sensor beams, very strong. We're being probed. In this direction. ",SPOCK
Fire. ,KIRK
I place you in the hands of our chess master._ (Kirk gets up and leaves) ,KIRK
Into one giant forward thrust  [Bridge],KIRK
"We've received a message from the Federation that might bring you some cheer. Lieutenant Uhura, would you relay it to Commodore April and his wife? ",KIRK
"It's illogical. It does not follow. All the adults on this planet died three hundred years ago, but there are children in the streets. ",SPOCK
"I'll see what I can  SPOCK: Captain, we're underway. ",KIRK
"Correction, Mister Seven. It appears we did not interfere. The Enterprise was part of what was supposed to happen on this day in 1968.",SPOCK
"Galileo to Enterprise. Galileo to Enterprise, come in, please.",SPOCK
Agreed. More like love. ,KIRK
"And you bore it well. And the disease that changed you, it's not your fault. And the terrible things you did since then, not truly responsible. ",KIRK
I think she's in good shape. ,MCCOY
Who have you come for this time? ,KIRK
"He has the capability, Captain. ",SPOCK
Yes. ,KIRK
"Jim, aren't you forgetting something? There are over a million colonists on that planet down there, just as much your responsibility.",MCCOY
"Are we out of range, Mister Sulu? ",KIRK
"Ambassador, you must dissolve the link. ",KIRK
Captain Tracey is being quite factual in several statements.,SPOCK
"Scotty, we need a work crew with power tools to open a frozen door. Have them report to, report to  (Kirk starts giggling) ",KIRK
"A mutiny requires a trial board of no less than three command officers. Since there are only two of that rank available SPOCK: Sir, I must point out that there are three officers of command rank available. Yourself, Commodore Mendez, and Captain Christopher Pike.",KIRK
That's a mistake. I'm no thief. ,KIRK
Good morning. ,KIRK
Spock. Can the transporter be programmed to re-pattern us as we were? ,KIRK
"An energy-matter scrambler, sir. The molecules in your body are converted into energy, then beamed into this chamber and reconverted back into their original pattern. ",KIRK
A friend. Activate the transporter. You saved us back at Sickbay with the Tantalus field. ,KIRK
Yes. I think so. ,KIRK
The child was named Leonard James Akaar? ,SPOCK
This is Captain Kirk of the USS Enterprise. Is anyone on board?,KIRK
"You're a spy, surgically altered to pass as an Andorian. Planted in the ambassador's party to use terror and murder to disrupt us and prepare for this attack. ",KIRK
"Three hours, thirteen minutes. ",SPOCK
"Do we have the power to pull it off, Scotty? ",KIRK
Spock knows. ,KIRK
"Ten, nine, eight, seven, six, five, four, three, two, one.",SPOCK
The facts as you know them. Or did you just accept Zarabeth's word because it's what you wanted to believe? ,MCCOY
"Guard, I'll talk. I'll talk. The pain  (Spock neck-pinches the guard. They start to undress him.) ",KIRK
Courtesy. Remember? ,KIRK
Kirk to Enterprise. Acknowledge. Acknowledge.,KIRK
"Insulted, Spock? ",KIRK
"Mister Bailey, phaser crews were sluggish. You were slow in locking them into your directional beam. Helmsman, engineering decks could have been faster, too. Programme a series of simulated attacks and evasion maneuvers. Keep repeating the exercise until we're proficient, gentlemen.",KIRK
"Lucien, you keep calling us friends, implying that you know us.",KIRK
"It may not have the range it had. In fact, it may not work at all. ",SPOCK
Observe for yourself. Rook to king's pawn four. ,SPOCK
Mind if I come in? ,MCCOY
It has been used successfully on test subjects on Rigel Five. ,SPOCK
What about Lars? ,KIRK
Get ready to beam up. ,KIRK
If they're wrong and they do beam into a pool of lava  SCOTT: Then they're dead men. I couldna pull them back in time. ,MCCOY
Report. ,KIRK
"Thank you for your opinion. It will be duly noted. You're recording this, Yeoman? ",SPOCK
It's closing fast on the Constellation. ,SPOCK
Only Vulcan ears would find the noise discernible. ,SPOCK
"I gave you an order, Doctor. ",KIRK
Let it read that this competency hearing was ordered by Commodore Stocker and reluctantly called by myself. ,SPOCK
"I am formulating a theory, Captain. ",SPOCK
"Where's does that sound coming from? Spock, can you pinpoint it? ",KIRK
So far there's nothing unusual in his bloodstream. Body functions seem normal.,MCCOY
We're floating inside the cloud. ,MCCOY
Transmit to Starfleet our sensor readings and log entries on the planet. Surface conditions make it impossible for us to beam down and investigate further. We are therefore going on to our next assignment. ,KIRK
We've located the trouble. It shouldn't be much longer. ,KIRK
Yes. I wanted to be certain there was no error. Formula is correct. Don't be concerned. It is an excellent body. There. You see? I feel better already. ,KIRK
"Doctor Sevrin is insane. I've not consulted Doctor McCoy, but I have no doubt of it. ",SPOCK
Could be we've waited too long. It's collecting all the information stored in this fly. They've decided to swat us. ,SPOCK
Get him out of here. ,KIRK
"Sir, there are several questions I would like to ask. ",SPOCK
"Helmsman, disregard what you see on the screen, what you think you see on the screen. Set a course for Starbase Four. ",KIRK
"We have nine minutes, fifty three seconds to power zero. SPOCK: There is, of course, a logical alternative. Kang's wife is, after all, our prisoner. Perhaps a threat. ",SPOCK
"Bones, did you ever hear of a doomsday machine? ",KIRK
I don't understand it. She's not sick at all. ,MCCOY
He won't get far in there. ,SPOCK
I don't understand. ,KIRK
Excuse me. ,MCCOY
How can we be powerful enough to wipe out a planet and still be so helpless?,MCCOY
Affirmative. ,SPOCK
"How are you doing, Doc? ",KIRK
She will not. She is fighting for her own identity. ,KIRK
"By our standards today, with primitive atomic weapons and in primitive space vessels  [Bridge]",SPOCK
"Thank you, ma'am. ",KIRK
(sound of running) Come on!,KIRK
"We can convert to it, sir. ",KIRK
We'll take you to a place to hide. ,KIRK
"Captain, I have come to the conclusion that this is not a game. ",SPOCK
"I would welcome a suggestion, Doctor, even an emotional one, as to where to look. ",SPOCK
"I've triple-checked, Jim. I wish to God I was wrong. Spock's blood is copper-based. The infection enters the blood stream, and encases the cells so they can't carry oxygen. ",MCCOY
"Your logic is excellent, Captain. There is a random factor to the ship disappearances. Perhaps the touching of the two time continuums is erratic. In any event, the window stayed open long enough for us to follow the Klothos in. ",SPOCK
"No, an alien smart enough to pull this could also keep my medical scanner from going beep! ",MCCOY
"Your Excellency, the wars between opposing star systems no longer prevail in our galaxy. If you will grant permission  HODIN [on viewscreen]: Of course, we shall institute a thorough search.",SPOCK
Yes. It's all right. We can help them now. ,MCCOY
Jim. ,MCCOY
"The blindness was temporary, Jim. There's something about his optical nerves which aren't the same as a human's. ",MCCOY
You check those record tapes. I want your medical analysis as quickly as possible. (leaves) ,KIRK
"A phaser! Come on! (arriving at the scene) Garrovick, did you? ",KIRK
Full sensor scan of the ship. Report on any movement by the Klingons. The Klingon Empire has maintained a duelling tradition. They think they can beat us with swords. ,KIRK
I suggest that we get these seawater and algae specimens.,MCCOY
Find one. Meet us in the transporter room.,KIRK
"It would be worth a try, at least until we're certain of the device. Then perhaps we could quiet things down. ",SPOCK
"I'm all right, Captain. ",SPOCK
Enterprise to Tantalus colony.,KIRK
"A moment, Captain. The results are unclear. ",SPOCK
"She will, unless we are able to complete what the captain has planned. ",SPOCK
Dead? It's a fourth magnitude sun. There are billions of inhabitants there. ,KIRK
"No. No more will die on account of us, Mister Spock. Where are those phasers? ",KIRK
"Also logical, Captain. ",SPOCK
"Obviously, this planet is condensing more rapidly than expected.",SPOCK
You really think it's that serious? ,MCCOY
Where are we? ,KIRK
"The ship reacted more rapidly than human control could have manoeuvred her. Tactics, deployment of weapons, all indicate an immense sophistication in computer control. ",SPOCK
Name it. ,KIRK
"Progress report, Mister Spock. ",KIRK
To say the least. ,KIRK
Initiate warp six. ,KIRK
Engage.,KIRK
"Now listen to me. I'm trying to help you. To save your life and the lives of millions like you. If you help me, maybe I can do it. If you don't, you'll die, we'll die, and the killing will go on. Or are you that fond of the war?",KIRK
"An asteroid, two hundred miles in diameter. ",SPOCK
I can't. ,SPOCK
"Doctor McCoy, Mister Spock and I will handle this. ",KIRK
"Had I not touched them, I would have agreed with you, Captain.",SPOCK
This ship is going to Ariannus. ,KIRK
I'll take my chances. ,KIRK
Spock here. ,SPOCK
"I surmised that, Captain. Its moves were immensely logical. But what people created this? Are there any representatives here? ",SPOCK
"No, I don't think so. It'll spoil your dinner. ",KIRK
"And with a weapon in him which could destroy you or anyone, anywhere on this ship. ",SPOCK
You don't know. You're not a doctor. ,KIRK
Bridge.,KIRK
"Captain, the security officers have gathered in Chief Vanderberg's office. ",SPOCK
"Inexplicable, Captain. This reading began at approximately the moment that the pulsation phenomenon began to subside. ",SPOCK
Do you have any ideas? ,KIRK
"We're talking about mutiny, Scotty. ",MCCOY
"Not the Nomad we lost from Earth. It took from the other a new directive to replace its own. The other was originally programmed to secure and sterilise soil samples from other planets, probably as a prelude to colonisation. ",SPOCK
"We will need top efficiency, Captain. It'll be a tricky orbit.",SPOCK
Spock here.,SPOCK
Energise. ,KIRK
"Psychiatric file, personality quotients. ",SPOCK
"Well, Mister Scott seems to agree with you. The two of you meet me in the transporter room on the double. ",KIRK
Captain? Captain? Captain?,SPOCK
"Read out, Mister Chekov. ",KIRK
You're going to leave here without them and run off on some wild goose chase halfway across the galaxy just because you found a discrepancy in a hydrogen cloud? ,MCCOY
"I concur, Mister Spock. Set phasers to stun, just in case. ",KIRK
Us? ,KIRK
Stop it? I'm counting on it. ,KIRK
"No information on that as yet, sir. I do have one read-out on full spiroid wave analysis. That will take approximately eight years. ",SPOCK
Kirk out. ,KIRK
Kirk to Enterprise. ,KIRK
"Miramanee, tell me about the Wise Ones. ",KIRK
I can't hold out against that many. ,KIRK
"There's no adult interpretation. I think we're dealing with children. Immensely old perhaps, but nonetheless children.",KIRK
"I never saw that woman before tonight. When she screamed, as far as I could tell, she was being attacked. ",KIRK
"I didn't realise I was so hungry. Whatever you call this, it is very good. ",KIRK
He said it was forbidden to climb the mountains. ,SPOCK
What do the crystals have to do with it? All they show us the point of radiation. ,KIRK
What earns Spock your special interest? ,KIRK
"Sir, you are employing a double negative. ",SPOCK
Anything? ,KIRK
"Acknowledging that we must return Captain Christopher, there are several problems, prime of which is the explanation of his return.",SPOCK
Check it. ,KIRK
A lot of things. What's been happening to my people?,KIRK
"Bones, you all right? ",KIRK
"I don't know, Bones. We're here to find out what's happened because I don't know. ",KIRK
"It is my duty, whether pleasant or unpleasant, to listen to the reports, observations, even speculations, on any subject that might affect the safety of this vessel, and it's my science officer's duty to see I'm provided with that. Go ahead, Mister Spock. ",KIRK
"Sir, you have never commanded a starship. ",SPOCK
"(in pain) Captain, go. I. You must destroy the  KIRK: What is it? ",SPOCK
Activate beams. ,KIRK
What is your authorisation? From what source? ,KIRK
"Goodbye, Harry. Have fun. ",KIRK
The turbulence hit you that hard? ,KIRK
Good. We want him to be a sterling witness. ,KIRK
But maintain general quarters. Scan this sector for other ships.,KIRK
